GCAM_region_ID,Land_Type,GLU,soil_c,veg_c,mature age
3,RockIceDesert,GLU151,1,0.2,50
3,Shrubland,GLU075,5,2.1,18
3,Shrubland,GLU080,7.646677081,8.012862479,25.39492003
3,Shrubland,GLU086,5.561634875,7.32657013,25.01384199
3,Shrubland,GLU087,5.652306455,1.790764129,28.78154836
3,Shrubland,GLU144,4.139701868,1.130528743,49.4450703
3,Shrubland,GLU151,2,2.6,50
4,Forest,GLU087,8.280280897,5.861020538,35.70070224
4,Forest,GLU162,9.60687767,13.45334353,39.01719417
4,Forest,GLU171,5.728216115,5.758188825,35.26175744
4,Forest,GLU179,5.821311026,6.583324582,35.52517729
4,Forest,GLU182,6.462626891,7.66316374,36.16804962
4,Forest,GLU183,6.051360581,7.595672818,36.13620585
4,Forest,GLU188,5.262547206,6.655164855,35.47977625
4,Forest,GLU190,6.273810484,4.936026892,35.40057861
4,Forest,GLU197,4.898411404,6.006780265,35.60702828
4,Forest,GLU198,7.978821341,7.165415674,38.85486083
4,Forest,GLU199,3,4.307785875,35
4,Grassland,GLU087,6.76689859,2.310600868,24.5710732
4,Grassland,GLU162,10,5.8,29
4,Grassland,GLU171,5.03881847,4.363102517,27.04241679
4,Grassland,GLU179,5,3.650944112,24.75733452
4,Grassland,GLU182,6.182987588,4.990152564,24.30575923
4,Grassland,GLU183,6.791522439,4.40670657,20.98313499
4,Grassland,GLU188,6.632111815,4.645622117,24.9019444
4,Grassland,GLU190,5.110376342,3.867305861,28.28676302
4,Grassland,GLU194,3.455738343,1.561562585,22.81673769
4,Grassland,GLU196,2.520525858,3.028693342,19.1100087
4,Grassland,GLU197,2.511905385,2.98682561,25.7247128
4,Grassland,GLU198,6.185446491,2.966417499,21.85904438
4,Grassland,GLU199,2.981370092,3.778961851,28.94509015
4,RockIceDesert,GLU087,3.8,0.1,50
4,RockIceDesert,GLU171,4.853117077,0.71569606,50
4,RockIceDesert,GLU179,10,0.9,50
4,RockIceDesert,GLU182,1,0.997617278,50
4,RockIceDesert,GLU183,3.8,0.1,50
4,RockIceDesert,GLU188,4.783185187,1.124151236,50
4,RockIceDesert,GLU190,9,5.2,50
4,RockIceDesert,GLU194,2,1.70295184,50
4,RockIceDesert,GLU196,2,0.4,50
4,RockIceDesert,GLU197,5.425259563,0.407115698,50
4,RockIceDesert,GLU198,5.477124869,2.386988458,50
4,RockIceDesert,GLU199,0,0,35
4,Shrubland,GLU087,6.469897343,5.090036232,26.48164251
4,Shrubland,GLU171,7.46296887,4.159874634,44.27166795
4,Shrubland,GLU179,5.537952961,7.537122664,25.39275262
4,Shrubland,GLU182,3.800709257,8.764647393,50
4,Shrubland,GLU183,6.961980155,8.085230556,49.59445498
4,Shrubland,GLU188,3,1,50
4,Shrubland,GLU190,3.504411742,2.419294121,50
4,Shrubland,GLU194,1.638193982,1.91274356,49.93903161
4,Shrubland,GLU196,2,7.025462019,50
4,Shrubland,GLU197,2,2.045314917,50
4,Shrubland,GLU199,2.194143272,3.199177604,50
5,Forest,GLU087,13,14.09219423,40
5,Forest,GLU142,6.968874757,10.34940168,39.78778537
5,Forest,GLU149,7.836326354,8.951927944,40
5,Forest,GLU151,8.785515067,8.954499406,40
5,Forest,GLU152,7.954629979,4.106049336,40
5,Forest,GLU160,6.244053136,6.589038374,40
5,Forest,GLU162,10.24871863,17.44865105,39.85558799
5,Forest,GLU183,7.863661758,15.90287159,39.51952091
5,Forest,GLU188,5.88936444,7.323839095,35.5531778
5,Grassland,GLU086,9.5,2.5,29
5,Grassland,GLU087,12.14486975,6.014451577,25.80196727
5,Grassland,GLU142,7.017707033,4.892327112,23.53428898
5,Grassland,GLU144,8.995629619,0.642021123,10.75896371
5,Grassland,GLU149,5.524104954,3.015353822,21.24684956
5,Grassland,GLU151,7.063411843,4.067516647,27.31595117
5,Grassland,GLU152,4.416772364,2.837664724,25.06659857
5,Grassland,GLU160,5.364557297,2.389306347,27.70498256
5,Grassland,GLU162,11.426503,7.55460025,22.17764455
5,Grassland,GLU183,7.216418944,4.858459014,21.4680868
5,Grassland,GLU188,8.177267952,6.133785173,15.21063631
5,RockIceDesert,GLU086,1,0.2,50
5,RockIceDesert,GLU087,11.39767327,1.582472832,50
5,RockIceDesert,GLU142,3.8,0.1,50
5,RockIceDesert,GLU144,1,0.2,50
5,RockIceDesert,GLU149,1.01623686,0.201288561,50
5,RockIceDesert,GLU151,1.008031718,0.202797417,50
5,RockIceDesert,GLU152,1.175938924,0.267190588,50
5,RockIceDesert,GLU160,8,0.3,50
5,RockIceDesert,GLU162,3.8,0.1,50
5,RockIceDesert,GLU183,16.97667813,0.600326412,50
5,Shrubland,GLU086,2,0.8,50
