Data source,Region,Forest types,Time,Age types,Texture,depth,OC_decrease,References,Initial_Land_Use,Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID
"Llorente  et al., 2012",Spain,Temperate forest,100,>50 yr,clay loam,0-30 cm,76.03686636,"Llorente M, Glaser B, Turrión M. 2010. Anthropogenic disturbance of natural forest vegetation on calcareous soils alters soil organic matter composition and natural abundance of 13C and 15N in density fractions. European Journal of Forest Research, 129: 1143-1155",Forest,Cropland," 30T 384465 E 4639001 N, Castilla y Leon",DouroR,GLU074,12
"Sitompul  et al., 2000",Indonesia,Tropical forest,24,11-50 yr,loam,0-20 cm,33.75527426,"Sitompul SM, Hairiah K, Cadisch G, Van Noordwijk M. 2000. Dynamics of density fractions of macro-organic matter after forest conversion to sugarcane and woodlots, accounted for in a modified Century model. Netherlands Journal ofAgricultural Science, 48: 61-73",Forest,Cropland,"Lampung, Sumatra",Sumatra,GLU163,18
"Sitompul  et al., 2001",Indonesia,Tropical forest,36,11-50 yr,loam,0-20 cm,6.751054852,"Sitompul SM, Hairiah K, Cadisch G, Van Noordwijk M. 2000. Dynamics of density fractions of macro-organic matter after forest conversion to sugarcane and woodlots, accounted for in a modified Century model. Netherlands Journal ofAgricultural Science, 48: 61-74",Forest,Cropland,"Lampung, Sumatra",Sumatra,GLU163,18
"Sitompul  et al., 2002",Indonesia,Tropical forest,48,11-50 yr,loam,0-20 cm,6.751054852,"Sitompul SM, Hairiah K, Cadisch G, Van Noordwijk M. 2000. Dynamics of density fractions of macro-organic matter after forest conversion to sugarcane and woodlots, accounted for in a modified Century model. Netherlands Journal ofAgricultural Science, 48: 61-75",Forest,Cropland,"Lampung, Sumatra",Sumatra,GLU163,18
"Sitompul  et al., 2003",Indonesia,Tropical forest,70,>50 yr,loam,0-20 cm,23.20675105,"Sitompul SM, Hairiah K, Cadisch G, Van Noordwijk M. 2000. Dynamics of density fractions of macro-organic matter after forest conversion to sugarcane and woodlots, accounted for in a modified Century model. Netherlands Journal ofAgricultural Science, 48: 61-76",Forest,Cropland,"Lampung, Sumatra",Sumatra,GLU163,18
"Sitompul  et al., 2004",Indonesia,Tropical forest,120,>50 yr,loam,0-20 cm,37.55274262,"Sitompul SM, Hairiah K, Cadisch G, Van Noordwijk M. 2000. Dynamics of density fractions of macro-organic matter after forest conversion to sugarcane and woodlots, accounted for in a modified Century model. Netherlands Journal ofAgricultural Science, 48: 61-77",Forest,Cropland,"Lampung, Sumatra",Sumatra,GLU163,18
"Kimetu  et al., 2009",Kenya,Tropical forest,5,<=10 yr,loam,surface,42.95238095,"Kimetu JM, Lehmann J, Kinyangi JM, Cheng CH, Thies J, Mugendi DN, Pell A. 2009. Soil organic C stabilization and thresholds in C saturation. Soil Biology & Biochemistry, 41: 2100-2104",Forest,Cropland,"South Nandi, Kenya",NileR,GLU087,2
"Kimetu  et al., 2010",Kenya,Tropical forest,20,11-50 yr,loam,surface,68.95238095,"Kimetu JM, Lehmann J, Kinyangi JM, Cheng CH, Thies J, Mugendi DN, Pell A. 2009. Soil organic C stabilization and thresholds in C saturation. Soil Biology & Biochemistry, 41: 2100-2105",Forest,Cropland,"South Nandi, Kenya",NileR,GLU087,2
"Kimetu  et al., 2011",Kenya,Tropical forest,35,11-50 yr,loam,surface,79.33333333,"Kimetu JM, Lehmann J, Kinyangi JM, Cheng CH, Thies J, Mugendi DN, Pell A. 2009. Soil organic C stabilization and thresholds in C saturation. Soil Biology & Biochemistry, 41: 2100-2106",Forest,Cropland,"South Nandi, Kenya",NileR,GLU087,2
"Kimetu  et al., 2012",Kenya,Tropical forest,105,>50 yr,loam,surface,79.9047619,"Kimetu JM, Lehmann J, Kinyangi JM, Cheng CH, Thies J, Mugendi DN, Pell A. 2009. Soil organic C stabilization and thresholds in C saturation. Soil Biology & Biochemistry, 41: 2100-2107",Forest,Cropland,"South Nandi, Kenya",NileR,GLU087,2
"Gajic  et al., 2006",Kenya,Temperate forest,100,>50 yr,clayey,0-20 cm,55.14374146,"Gajic B, Dugalic G, Djurovic N. 2006. Comparison of soil organic matter content, aggregate composition. Agronomy Research, 4: 499-508",Forest,Cropland,"Kolubara river valley, Serbia",DanubeR,GLU054,2
"Fallahzade  et al., 2011",Iran,Temperate forest,40,11-50 yr,,0-20 cm,76.47058824,"Fallahzade J, Hajabbasi MA, Khalili B. 2011. A study of the effects of deforestation on soil organic matter properties in a semi-arid ecosystem (Central Iran). Proceedings of the 3rd International CEMEPE & SECOTOX Conference. 1119-1123",Forest,Cropland,"Lordegan, Iran (31° 19? N, 51° 10? E)",TigrEuphR,GLU084,27
"Bashkin and Binkley, 1998",America,Tropical forest,65,>50 yr,,0-20 cm,45.51713782,"Bashkin MA, Binkley D. 1998. Changes in soil carbon following afforestation in Hawaii. Ecology, 79: 828-838",Forest,Cropland,Hawaii’s Hamakua coast,,,
"Brams, 1971",Sierra Leone,Tropical forest,1,<=10 yr,clay loam,0-18 cm,25.99407953,"Brams EA. 1971. Continuous cultivation of West African soils organic matter diminution and effects of applied lime and phosphorus. Plant and Soil, 35: 401-414",Forest,Cropland,,,,
,,Tropical forest,2,<=10 yr,clay loam,0-18 cm,38.99511961,,Forest,Cropland,,,,
,,Tropical forest,5,<=10 yr,clay loam,0-18 cm,51.99615969,,Forest,Cropland,,,,
,,Tropical forest,1,<=10 yr,clayey,0-18 cm,32.05963654,,Forest,Cropland,,,,
,,Tropical forest,2,<=10 yr,clayey,0-18 cm,43.04998945,,Forest,Cropland,,,,
,,Tropical forest,4,<=10 yr,clayey,0-18 cm,48.04560441,,Forest,Cropland,,,,
,,Tropical forest,5,<=10 yr,clayey,0-18 cm,50.0438504,,Forest,Cropland,,,,
"Giddens, 1957",America,Temperate forest,25,11-50 yr,loam,0-15 cm,59.87124464,"Giddens J. 1957. Rate of loss of carbon from Georgia soils. Soil Science Society of America Proceedings, 21: 513-515",Forest,Cropland,,,,
,,Temperate forest,25,11-50 yr,loam,0-15 cm,52.34567901,,Forest,Cropland,,,,
,,Temperate forest,25,11-50 yr,loam,0-15 cm,58.2278481,,Forest,Cropland,,,,
,,Temperate forest,25,11-50 yr,loam,0-15 cm,52.38095238,,Forest,Cropland,,,,
,,Temperate forest,3,<=10 yr,loam,0-15 cm,30.86956522,,Forest,Cropland,,,,
,,Temperate forest,75,>50 yr,loam,0-15 cm,72.17391304,,Forest,Cropland,,,,
"Sanchez  et al., 1983",Peru,Tropical forest,8,<=10 yr,loam,0-15 cm,27.23004695,"Sanchez PA, Villachica JH, Bandy DE. 1983. Soil fertility dynamics after clearing a tropical rainforest in Peru. Soil Science Society of America Journal, 47: 1171-1178",Forest,Cropland,"Yurimaguas, Peru",AmazonR,GLU168,31
"Franzluebbers  et al., 2000",America,Temperate forest,24,11-50 yr,clay loam,0-20 cm,28.24030978,"Franzluebbers AJ, Stuedemann JA, Schomberg HH, Wilkinson SR. 2000. Soil organic C and N pools under long-term pasture management in the Southern Piedmont USA. Soil Biology & Biochemistry, 32: 469-478",Forest,Cropland,"33° 52? N, 83° 25? W",UsaCstSE,GLU226,1
"Osher  et al., 2003",America,Tropical forest,90,>50 yr,,0-20 cm,71.89361824,"Osher LJ, Matson PA, Amundson R. 2003. Effect of land use change on soil carbon in Hawaii. Biogeochemistry 65: 213-232",Forest,Cropland,Hawaii,,,
,,Tropical forest,50,11-50 yr,,0-20 cm,61.63317142,,Forest,Cropland,,,,
"Navarrete and Tsutsuki, 2008",Philippines,Tropical forest,14,11-50 yr,clayey,0-20 cm,33.33333333,"Navarrete IA, Tsutsuki K. 2008. Land-use impact on soil carbon, nitrogen, neutral sugar composition and related chemical properties in a degraded Ultisol in Leyte, Philippines. Soil Science and Plant Nutrition, 54: 321-331",Forest,Cropland," Leyte, Philippines",Philippines,GLU119,29
"Motavalli  et al., 2000",America,Tropical forest,1,<=10 yr,clayey,0-12.5 cm,10.3122102,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-27",Forest,Cropland,Guam,Guam,GLU121,29
"Motavalli  et al., 2001",America,Tropical forest,4,<=10 yr,clayey,0-12.5 cm,36.32148377,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-28",Forest,Cropland,Guam,Guam,GLU122,30
"Motavalli  et al., 2002",America,Tropical forest,6,<=10 yr,clayey,0-12.5 cm,46.36166924,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-29",Forest,Cropland,Guam,Guam,GLU123,31
"Motavalli  et al., 2003",America,Tropical forest,7,<=10 yr,clayey,0-12.5 cm,48.1236476,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-30",Forest,Cropland,Guam,Guam,GLU124,32
"Motavalli  et al., 2004",America,Tropical forest,9,<=10 yr,clayey,0-12.5 cm,50.18238022,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-31",Forest,Cropland,Guam,Guam,GLU125,33
"Motavalli  et al., 2005",America,Tropical forest,10,<=10 yr,clayey,0-12.5 cm,40.04327666,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-32",Forest,Cropland,Guam,Guam,GLU126,34
"Motavalli  et al., 2006",America,Tropical forest,11,11-50 yr,clayey,0-12.5 cm,50.18238022,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-33",Forest,Cropland,Guam,Guam,GLU127,35
"Motavalli  et al., 2007",America,Tropical forest,12,11-50 yr,clayey,0-12.5 cm,47.88253478,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-34",Forest,Cropland,Guam,Guam,GLU128,36
"Motavalli  et al., 2008",America,Tropical forest,16,11-50 yr,clayey,0-12.5 cm,25.625966,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-35",Forest,Cropland,Guam,Guam,GLU129,37
"Motavalli  et al., 2009",America,Tropical forest,18,11-50 yr,clayey,0-12.5 cm,45.47140649,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-36",Forest,Cropland,Guam,Guam,GLU130,38
"Motavalli  et al., 2010",America,Tropical forest,20,11-50 yr,clayey,0-12.5 cm,46.30602782,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-37",Forest,Cropland,Guam,Guam,GLU131,39
"Motavalli  et al., 2011",America,Tropical forest,23,11-50 yr,clayey,0-12.5 cm,33.78670788,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-38",Forest,Cropland,Guam,Guam,GLU132,40
"Motavalli  et al., 2012",America,Tropical forest,26,11-50 yr,clayey,0-12.5 cm,33.60123648,"Motavalli PP, Discekici H, Kuhn J. 2000. The impact of land clearing and agricultural practices on soil organic C fractions and CO2 efflux in the Northern Guam aquifer. Agriculture, Ecosystems and Environment, 79: 17-39",Forest,Cropland,Guam,Guam,GLU133,41
"Brown and Lugo, 1990",Puerto Rico,Tropical forest,10,<=10 yr,clayey,0-25 cm,58.14141414,"Brown S, Lugo AE. 1990. Effects of forest clearing and succession on the carbon and nitrogen-content of soils in Puerto-Rico and US Virgin Islands. Plant and Soil, 124: 53-64",Forest,Cropland,Puerto Rico,CntAme,GLU135,9
"Brown and Lugo, 1991",Puerto Rico,Tropical forest,60,>50 yr,clayey,0-25 cm,45.69589702,,Forest,Cropland,Puerto Rico,CntAme,GLU135,9
,America,Tropical forest,100,>50 yr,clayey,0-25 cm,68.21548822,,Forest,Cropland,,,,
"Dominy  et al., 2000",South Africa,Tropical forest,5,<=10 yr,clay loam,0-10 cm,28.08808032,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-356",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dominy  et al., 2001",South Africa,Tropical forest,15,11-50 yr,clay loam,0-10 cm,57.6977832,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-357",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dominy  et al., 2002",South Africa,Tropical forest,25,11-50 yr,clay loam,0-10 cm,59.7537301,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-358",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dominy  et al., 2003",South Africa,Tropical forest,35,11-50 yr,clay loam,0-10 cm,64.81964243,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-359",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dominy  et al., 2004",South Africa,Tropical forest,45,11-50 yr,clay loam,0-10 cm,67.30822564,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-360",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dominy  et al., 2005",South Africa,Tropical forest,65,>50 yr,clay loam,0-10 cm,70.35147078,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-361",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dominy  et al., 2006",South Africa,Temperate forest,5,<=10 yr,clayey,0-10 cm,10.73599653,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-362",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dominy  et al., 2007",South Africa,Temperate forest,15,11-50 yr,clayey,0-10 cm,20.1042119,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-363",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dominy  et al., 2008",South Africa,Temperate forest,25,11-50 yr,clayey,0-10 cm,26.73143726,"Dominy CS, Haynes RJ, van Antwerpen R. 2000. Loss of soil organic matter and related soil properties under long-term sugarcane production on two contrasting soils. Biology and Fertility of Soils, 36: 350-364",Forest,Cropland,KwaZulu-Natal,AfrCstS,GLU198,24
"Dalal and Mayer, 1986",Australia,Tropical forest,0.5,<=10 yr,clayey,0-10 cm,0.884955752,"Dalal RC, Mayer RJ. 1986. Long-term trends in fertility of soils under continuous cultivation and cereal cropping in southern Queensland. II. Total organic carbon and its rate of loss from the soil profile. Australian Journal of Soil Research, 24: 281-292",Forest,Cropland,,,,
,,Tropical forest,6,<=10 yr,clayey,0-10 cm,21.23893805,,Forest,Cropland,,,,
,,Tropical forest,8,<=10 yr,clayey,0-10 cm,48.67256637,,Forest,Cropland,,,,
,,Tropical forest,9,<=10 yr,clayey,0-10 cm,30.97345133,,Forest,Cropland,,,,
,,Tropical forest,10,<=10 yr,clayey,0-10 cm,25.66371681,,Forest,Cropland,,,,
,,Tropical forest,12,11-50 yr,clayey,0-10 cm,37.16814159,,Forest,Cropland,,,,
,,Tropical forest,16,11-50 yr,clayey,0-10 cm,48.2300885,,Forest,Cropland,,,,
,,Tropical forest,20,11-50 yr,clayey,0-10 cm,53.98230088,,Forest,Cropland,,,,
,,Tropical forest,25,11-50 yr,clayey,0-10 cm,56.63716814,,Forest,Cropland,,,,
,,Tropical forest,30,11-50 yr,clayey,0-10 cm,55.30973451,,Forest,Cropland,,,,
,,Tropical forest,45,11-50 yr,clayey,0-10 cm,69.91150442,,Forest,Cropland,,,,
,,Tropical forest,1,<=10 yr,clayey,0-10 cm,-1.851851852,,Forest,Cropland,,,,
,,Tropical forest,2,<=10 yr,clayey,0-10 cm,2.469135802,,Forest,Cropland,,,,
,,Tropical forest,4,<=10 yr,clayey,0-10 cm,15.43209877,,Forest,Cropland,,,,
,,Tropical forest,5,<=10 yr,clayey,0-10 cm,2.469135802,,Forest,Cropland,,,,
,,Tropical forest,10,<=10 yr,clayey,0-10 cm,22.22222222,,Forest,Cropland,,,,
,,Tropical forest,15,11-50 yr,clayey,0-10 cm,22.83950617,,Forest,Cropland,,,,
,,Tropical forest,19,11-50 yr,clayey,0-10 cm,32.09876543,,Forest,Cropland,,,,
,,Tropical forest,23,11-50 yr,clayey,0-10 cm,30.24691358,,Forest,Cropland,,,,
,,Tropical forest,35,11-50 yr,clayey,0-10 cm,31.48148148,,Forest,Cropland,,,,
,,Tropical forest,40,11-50 yr,clayey,0-10 cm,40.12345679,,Forest,Cropland,,,,
,,Tropical forest,50,11-50 yr,clayey,0-10 cm,33.95061728,,Forest,Cropland,,,,
,,Tropical forest,55,>50 yr,clayey,0-10 cm,37.65432099,,Forest,Cropland,,,,
,,Tropical forest,70,>50 yr,clayey,0-10 cm,40.12345679,,Forest,Cropland,,,,
,,Tropical forest,0.5,<=10 yr,clayey,0-10 cm,10.13513514,,Forest,Cropland,,,,
,,Tropical forest,1,<=10 yr,clayey,0-10 cm,14.18918919,,Forest,Cropland,,,,
,,Tropical forest,3,<=10 yr,clayey,0-10 cm,29.05405405,,Forest,Cropland,,,,
,,Tropical forest,6,<=10 yr,clayey,0-10 cm,25,,Forest,Cropland,,,,
,,Tropical forest,7,<=10 yr,clayey,0-10 cm,21.62162162,,Forest,Cropland,,,,
,,Tropical forest,9,<=10 yr,clayey,0-10 cm,47.2972973,,Forest,Cropland,,,,
,,Tropical forest,11,11-50 yr,clayey,0-10 cm,30.40540541,,Forest,Cropland,,,,
,,Tropical forest,12,11-50 yr,clayey,0-10 cm,45.94594595,,Forest,Cropland,,,,
,,Tropical forest,15,11-50 yr,clayey,0-10 cm,31.08108108,,Forest,Cropland,,,,
,,Tropical forest,16,11-50 yr,clayey,0-10 cm,41.89189189,,Forest,Cropland,,,,
,,Tropical forest,17,11-50 yr,clayey,0-10 cm,34.45945946,,Forest,Cropland,,,,
,,Tropical forest,20,11-50 yr,clayey,0-10 cm,54.05405405,,Forest,Cropland,,,,
,,Tropical forest,22,11-50 yr,clayey,0-10 cm,35.81081081,,Forest,Cropland,,,,
,,Tropical forest,25,11-50 yr,clayey,0-10 cm,53.37837838,,Forest,Cropland,,,,
,,Tropical forest,3,<=10 yr,clayey,0-10 cm,13.95348837,,Forest,Cropland,,,,
,,Tropical forest,7,<=10 yr,clayey,0-10 cm,34.30232558,,Forest,Cropland,,,,
,,Tropical forest,8,<=10 yr,clayey,0-10 cm,34.88372093,,Forest,Cropland,,,,
,,Tropical forest,11,11-50 yr,clayey,0-10 cm,35.46511628,,Forest,Cropland,,,,
,,Tropical forest,13,11-50 yr,clayey,0-10 cm,34.88372093,,Forest,Cropland,,,,
,,Tropical forest,15,11-50 yr,clayey,0-10 cm,36.04651163,,Forest,Cropland,,,,
,,Tropical forest,16,11-50 yr,clayey,0-10 cm,40.11627907,,Forest,Cropland,,,,
,,Tropical forest,27,11-50 yr,clayey,0-10 cm,37.79069767,,Forest,Cropland,,,,
,,Tropical forest,30,11-50 yr,clayey,0-10 cm,44.18604651,,Forest,Cropland,,,,
,,Tropical forest,33,11-50 yr,clayey,0-10 cm,50.58139535,,Forest,Cropland,,,,
,,Tropical forest,35,11-50 yr,clayey,0-10 cm,40.69767442,,Forest,Cropland,,,,
,,Tropical forest,0.5,<=10 yr,clay loam,0-10 cm,16.15384615,,Forest,Cropland,,,,
,,Tropical forest,1,<=10 yr,clay loam,0-10 cm,35.38461538,,Forest,Cropland,,,,
,,Tropical forest,3,<=10 yr,clay loam,0-10 cm,38.46153846,,Forest,Cropland,,,,
,,Tropical forest,5,<=10 yr,clay loam,0-10 cm,36.92307692,,Forest,Cropland,,,,
,,Tropical forest,6,<=10 yr,clay loam,0-10 cm,36.15384615,,Forest,Cropland,,,,
,,Tropical forest,7,<=10 yr,clay loam,0-10 cm,42.30769231,,Forest,Cropland,,,,
,,Tropical forest,8,<=10 yr,clay loam,0-10 cm,46.15384615,,Forest,Cropland,,,,
,,Tropical forest,12,11-50 yr,clay loam,0-10 cm,36.15384615,,Forest,Cropland,,,,
,,Tropical forest,20,11-50 yr,clay loam,0-10 cm,45.38461538,,Forest,Cropland,,,,
,,Tropical forest,2,<=10 yr,clayey,0-10 cm,-5,,Forest,Cropland,,,,
,,Tropical forest,3,<=10 yr,clayey,0-10 cm,6.25,,Forest,Cropland,,,,
,,Tropical forest,4,<=10 yr,clayey,0-10 cm,10,,Forest,Cropland,,,,
,,Tropical forest,7,<=10 yr,clayey,0-10 cm,13.75,,Forest,Cropland,,,,
,,Tropical forest,10,<=10 yr,clayey,0-10 cm,18.75,,Forest,Cropland,,,,
,,Tropical forest,13,11-50 yr,clayey,0-10 cm,16.25,,Forest,Cropland,,,,
,,Tropical forest,14.5,11-50 yr,clayey,0-10 cm,20,,Forest,Cropland,,,,
,,Tropical forest,15,11-50 yr,clayey,0-10 cm,22.5,,Forest,Cropland,,,,
,,Tropical forest,18,11-50 yr,clayey,0-10 cm,31.25,,Forest,Cropland,,,,
,,Tropical forest,19,11-50 yr,clayey,0-10 cm,32.5,,Forest,Cropland,,,,
,,Tropical forest,20,11-50 yr,clayey,0-10 cm,31.25,,Forest,Cropland,,,,
,,Tropical forest,21,11-50 yr,clayey,0-10 cm,33.75,,Forest,Cropland,,,,
,,Tropical forest,22,11-50 yr,clayey,0-10 cm,46.25,,Forest,Cropland,,,,
,,Tropical forest,23,11-50 yr,clayey,0-10 cm,32.5,,Forest,Cropland,,,,
"Yang  et al., 2005",China,Tropical forest,7,<=10 yr,clayey,0-20 cm,36.76975945,"Yang JC, Huang JH, Pan QM, Tang JW, Hang XG. 2005. Soil phosphorus dynamics as influenced by land use changes in humid tropical, southwest China. Pedosphere, 15: 24-32",Forest,Cropland,"Xishuangbanna, China",Hong,GLU109,11
"Yang  et al., 2006",China,Tropical forest,7,<=10 yr,clayey,0-20 cm,30.58419244,"Yang JC, Huang JH, Pan QM, Tang JW, Hang XG. 2005. Soil phosphorus dynamics as influenced by land use changes in humid tropical, southwest China. Pedosphere, 15: 24-33",Forest,Cropland,"Xishuangbanna, China",Hong,GLU109,11
"Tan  et al., 2007",America,Temperate forest,17,11-50 yr,clay loam,0-20 cm,65.625,"Tan Z, Lal R, Owen L, Izaurralde RC. 2007. Distribution of light and heavy fractions of soil organic carbon as related to land use and tillage practice. Soil & Tillage Research, 92: 53-59",Forest,Cropland,"Appalachian Experimental Watershed, 40°24?N; 81°48?W",OhioR,GLU228,1
"Tan  et al., 2008",America,Temperate forest,27,11-50 yr,clay loam,0-20 cm,52.08333333,"Tan Z, Lal R, Owen L, Izaurralde RC. 2007. Distribution of light and heavy fractions of soil organic carbon as related to land use and tillage practice. Soil & Tillage Research, 92: 53-60",Forest,Cropland,"Appalachian Experimental Watershed, 40°24?N; 81°48?W",OhioR,GLU228,1
"Tan  et al., 2004",America,Temperate forest,17,11-50 yr,clay loam,0-20 cm,68.81028939,"Tan ZX, Lal R, Izaurralde RC, Post WM. 2004. Biochemically protected soil organic carbon at the north Appalachian experimental watershed. Soil Science, 169: 423-433",Forest,Cropland,"Appalachian Experimental Watershed, 40°24?N; 81°48?W",OhioR,GLU228,1
"Tan  et al., 2005",America,Temperate forest,31,11-50 yr,clay loam,0-20 cm,47.26688103,"Tan ZX, Lal R, Izaurralde RC, Post WM. 2004. Biochemically protected soil organic carbon at the north Appalachian experimental watershed. Soil Science, 169: 423-434",Forest,Cropland,"Appalachian Experimental Watershed, 40°24?N; 81°48?W",OhioR,GLU228,1
"Tan  et al., 2006",America,Temperate forest,17,11-50 yr,clay loam,0-20 cm,57.23472669,"Tan ZX, Lal R, Izaurralde RC, Post WM. 2004. Biochemically protected soil organic carbon at the north Appalachian experimental watershed. Soil Science, 169: 423-435",Forest,Cropland,"Appalachian Experimental Watershed, 40°24?N; 81°48?W",OhioR,GLU228,1
"Olson  et al., 2011",America,Temperate forest,150,>50 yr,Loam,0-15 cm,42.89855072,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-458",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Olson  et al., 2012",America,Temperate forest,150,>50 yr,Loam,0-15 cm,65.11056511,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-459",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Olson  et al., 2013",America,Temperate forest,150,>50 yr,Loam,0-15 cm,65.13317191,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-460",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Olson  et al., 2014",America,Temperate forest,150,>50 yr,Loam,0-15 cm,59.24855491,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-461",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Olson  et al., 2015",America,Temperate forest,150,>50 yr,Loam,0-15 cm,53.35463259,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-462",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Olson  et al., 2016",America,Temperate forest,150,>50 yr,Loam,0-7.5 cm,54.78927203,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-463",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
