Data source,Region,Forest types,Time,Age types,Texture,depth,OC_decrease,References,Initial_Land_Use,Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID
"Adachi  et al., 2006",Malay Peninsula ,Temperate forest,24,11-50 yr,loam,0-10 cm,38.24701195,"Adachi M, Bekku YS, Rashidah W, Okuda T, Koizumi H. 2006. Differences in soil respiration between different tropical ecosystems. Applied Soil Ecology, 34: 258-265",Forest,Cropland," Pasoh Forest Reserve, Negeri Sembilan, Malaysian Peninsula",MalaysiaP,GLU139,29
"Aina, 1979",Nigeria,Tropical forest,10,<=10 yr,clay loam,0-15 cm,75,"Aina PO. 1979. Soil changes resulting from long-term management-practices in Western Nigeria. Soil Science Society of America Journal, 43: 173-177",Forest,Cropland,,,,
,,Tropical forest,10,<=10 yr,clay loam,0-15 cm,55,,Forest,Cropland,,,,
,,Tropical forest,5,<=10 yr,clay loam,0-15 cm,10.71428571,,Forest,Cropland,,,,
,,Tropical forest,5,<=10 yr,clay loam,0-15 cm,81.25,,Forest,Cropland,,,,
,,Tropical forest,5,<=10 yr,clay loam,0-15 cm,83.92857143,,Forest,Cropland,,,,
"Bonde  et al., 1992",Brazil,Tropical forest,12,11-50 yr,clayey,0-10 cm,56.06936416,"Bonde TA, Christensen BT, Cerri CC. 1992. Dynamics of soil organic-matter as reflected by natural c-13 abundance in particle-size fractions of forested and cultivated oxisols. Soil Biology & Biochemistry, 24: 275-277",Forest,Cropland,"Piracicaba, Brazil",RioLaPlata,GLU206,7
"Bonde  et al., 1993",Brazil,Tropical forest,50,11-50 yr,clayey,0-10 cm,59.24855491,"Bonde TA, Christensen BT, Cerri CC. 1992. Dynamics of soil organic-matter as reflected by natural c-13 abundance in particle-size fractions of forested and cultivated oxisols. Soil Biology & Biochemistry, 24: 275-278",Forest,Cropland,"Piracicaba, Brazil",RioLaPlata,GLU206,7
"Carvalho  et al., 2009",Brazil,Tropical forest,1,<=10 yr,clayey,0-30 cm,25.2,"Carvalho JLN, Cerri CEP, Feigl BJ, Piccolo MC, Godinho VP, Herpin U, Cerri CC. 2009. Conversion of cerrado into agricultural land in the south-western Amazon carbon stocks and soil fertility. Sci. Agric., 66: 233-241",Forest,Cropland,"Vilhena, Rondônia State, Brazil",AmazonR,GLU168,7
"Carvalho  et al., 2010",Brazil,Tropical forest,2,<=10 yr,clayey,0-30 cm,6.390168971,"Carvalho JLN, Cerri CEP, Feigl BJ, Piccolo MC, Godinho VP, Herpin U, Cerri CC. 2009. Conversion of cerrado into agricultural land in the south-western Amazon carbon stocks and soil fertility. Sci. Agric., 66: 233-242",Forest,Cropland,"Vilhena, Rondônia State, Brazil",AmazonR,GLU168,7
"Carvalho  et al., 2011",Brazil,Tropical forest,1,<=10 yr,clayey,0-30 cm,5.855855856,"Carvalho JLN, Cerri CEP, Feigl BJ, Piccolo MC, Godinho VP, Herpin U, Cerri CC. 2009. Conversion of cerrado into agricultural land in the south-western Amazon carbon stocks and soil fertility. Sci. Agric., 66: 233-243",Forest,Cropland,"Vilhena, Rondônia State, Brazil",AmazonR,GLU168,7
"Carvalho  et al., 2012",Brazil,Tropical forest,2,<=10 yr,clayey,0-30 cm,12.60932945,"Carvalho JLN, Cerri CEP, Feigl BJ, Piccolo MC, Godinho VP, Herpin U, Cerri CC. 2009. Conversion of cerrado into agricultural land in the south-western Amazon carbon stocks and soil fertility. Sci. Agric., 66: 233-244",Forest,Cropland,"Vilhena, Rondônia State, Brazil",AmazonR,GLU168,7
"Carvalho  et al., 2013",Brazil,Tropical forest,3,<=10 yr,clayey,0-30 cm,6.954887218,"Carvalho JLN, Cerri CEP, Feigl BJ, Piccolo MC, Godinho VP, Herpin U, Cerri CC. 2009. Conversion of cerrado into agricultural land in the south-western Amazon carbon stocks and soil fertility. Sci. Agric., 66: 233-245",Forest,Cropland,"Vilhena, Rondônia State, Brazil",AmazonR,GLU168,7
"Elliott  et al., 1991",Peru,Tropical forest,3,<=10 yr,,0-22.5 cm,17.64705882,"Elliott ET, Palm CA, Reuss DE, Monz CA. 1991. Organic-matter contained in soil aggregates from a tropical chronosequence - correction for sand and light fraction. Agriculture, Ecosystems and Environment, 34: 443-451",Forest,Cropland,"Yurimaguas, Peru",AmazonR,GLU168,31
"Elliott  et al., 1992",Peru,Tropical forest,16,11-50 yr,,0-22.5 cm,25.49019608,"Elliott ET, Palm CA, Reuss DE, Monz CA. 1991. Organic-matter contained in soil aggregates from a tropical chronosequence - correction for sand and light fraction. Agriculture, Ecosystems and Environment, 34: 443-452",Forest,Cropland,"Yurimaguas, Peru",AmazonR,GLU168,31
"Geissen  et al., 2009",Mexico,Tropical forest,12,11-50 yr,,0-10 cm,25.51020408,"Geissen V, Pena-Pena K, Huerta E. 2009. Effects of different land use on soil chemical properties, decomposition rate and earthworm communities in tropical Mexico. Pedobiologia, 53: 75-86",Forest,Cropland,"Tabasco, SE Mexico",GrijUsuR,GLU133,20
"Geissen  et al., 2010",Mexico,Tropical forest,12,11-50 yr,,0-10 cm,56.80272109,"Geissen V, Pena-Pena K, Huerta E. 2009. Effects of different land use on soil chemical properties, decomposition rate and earthworm communities in tropical Mexico. Pedobiologia, 53: 75-87",Forest,Cropland,"Tabasco, SE Mexico",GrijUsuR,GLU133,20
