Publication,Ecosystem Name (Initial),Initial_Land_Use,Ecosystem Name (Final),Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID,Time,Max_Rate,Avg_Rate,Exp_Rate
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,20,174.81,24.1,0.0241
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,20,115.54,39.27,0.03927
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,20,-84.13,2.37,0.00237
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,12,114.83,91.91,0.09191
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,7,,-14.29,-0.01429
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,8,,-90,-0.09
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,81,460,21.85,0.02185
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,20,410,59,0.059
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,20,110,74.5,0.0745
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,20,49.17,17,0.017
"	Neil et al. (1997)",Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,12,134,32.5,0.0325
"	Veldkamp (1994)",Native forest,Forest,Cleared for pasture (Eutric Hapludand),Pasture,"Turrialba Volcano, Costa Rica",CntAmer,GLU135,9,25,,-87.2,-0.0872
"	Veldkamp (1994)",Native forest,Forest,Cleared for pasture (Oxic Humitropept),Pasture,"Turrialba Volcano, Costa Rica",CntAmer,GLU135,9,25,,-6,-0.006
van Dam et al. (1997),Native forest,Forest,Cleared for pasture (Andic Humitropept),Pasture,Costa Rica,CntAmer,GLU135,9,18,142.03,34.93,0.03493
